date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:48	32985/32985	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2017:53:32%20GMT	https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/index-fullscreen-image.html	(from )
10:45:48	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202024%2005:15:48%20GMT	https://mixdesign.club/robots.txt		(from )
10:45:48	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/favicon/favicon.ico	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/favicon/favicon.ico	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:49	458/458	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/favicon/icon.svg	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/favicon/icon.svg	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:49	18178/18178	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/favicon/apple-touch-icon.png	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/favicon/apple-touch-icon.png	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:50	389/389	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/favicon/manifest.webmanifest	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/favicon/manifest.webmanifest	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:51	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202024%2005:15:51%20GMT	http://mixdesign.club/themeforest/hintio/img/favicon/og-image.jpg	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/favicon/og-image.5.delayed	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:51	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202024%2005:15:51%20GMT	http://mixdesign.club/themeforest/hintio/	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/index.html	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:52	5333/5333	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/css/loaders/loader.css	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/css/loaders/loader.css	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:53	407315/407315	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/css/plugins.css	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/css/plugins.css	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:53	109242/109242	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/css/main.css	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/css/main.css	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:53	1307/1307	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/hintio-logo.svg	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/hintio-logo.svg	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:54	740/740	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/icons/feature-icon-1.svg	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/icons/feature-icon-1.svg	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:54	660/660	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/icons/feature-icon-2.svg	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/icons/feature-icon-2.svg	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:54	758/758	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/icons/feature-icon-3.svg	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/icons/feature-icon-3.svg	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:55	755/755	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/icons/feature-icon-4.svg	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/icons/feature-icon-4.svg	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:57	96836/96836	---M--	200	added ('OK')	image/webp	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/works/900x1200-work-2.webp	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/works/900x1200-work-2.webp	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:58	132308/132308	---M--	200	added ('OK')	image/webp	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/works/900x1200-work-3.webp	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/works/900x1200-work-3.webp	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
10:45:58	65614/65614	---M--	200	added ('OK')	image/webp	date:Sun,%2007%20Jan%202024%2022:32:48%20GMT	https://mixdesign.club/themeforest/hintio/img/works/900x1200-work-4.webp	C:/Users/ITM-M-PC-060/Desktop/New%20folder%20(2)/coming%20soon/mixdesign.club/themeforest/hintio/img/works/900x1200-work-4.webp	(from https://mixdesign.club/themeforest/hintio/index-fullscreen-image.html)
